Fibonacci(5) = 5, Time taken: 1700 ns
Fibonacci(10) = 55, Time taken: 5500 ns
Fibonacci(15) = 610, Time taken: 60200 ns
Fibonacci(20) = 6765, Time taken: 61100 ns
Fibonacci(25) = 75025, Time taken: 434700 ns
Fibonacci(30) = 832040, Time taken: 2884300 ns
Fibonacci(35) = 9227465, Time taken: 30956700 ns
Fibonacci(40) = 102334155, Time taken: 344103700 ns
Fibonacci(45) = 1134903170, Time taken: 3858871600 ns
Fibonacci(50) = 12586269025, Time taken: 42176242600 ns
